country,subtype,count
Kenya,Clan Targeting,351
Kenya,Ethnic Targeting,261
Kenya,Religious Incitement,235
Kenya,Political Incitement,225
Kenya,Anti-Foreign,180
Kenya,Dehumanisation,162
Kenya,General Abuse,59
Kenya,Gendered Violence,38
Kenya,Identity Incitement,32
Kenya,Coded Ethnic Slurs,32
Kenya,Disinfo/Conspiracy,4
Regional,Clan Targeting,7
Somalia,Clan Targeting,994
Somalia,Political Incitement,502
Somalia,Religious Incitement,501
Somalia,Anti-Foreign,393
Somalia,Dehumanisation,329
Somalia,Ethnic Targeting,261
Somalia,Gendered Violence,92
Somalia,General Abuse,79
Somalia,Disinfo/Conspiracy,11
Somalia,Clan Hierarchy,3
South Sudan,Ethnic Targeting,402
South Sudan,Political Incitement,321
South Sudan,Clan Targeting,235
South Sudan,Dehumanisation,182
South Sudan,Anti-Foreign,147
South Sudan,Religious Incitement,112
South Sudan,Gendered Violence,49
South Sudan,General Abuse,37
South Sudan,Militarisation,30
South Sudan,Disinfo/Conspiracy,13
South Sudan,Militarisation Stereotype,2
