subtype,country,keyword,language_notes
HS-DEHUMANISE,Somalia,xayawaan,
HS-DEHUMANISE,Somalia,xoolo,
HS-DEHUMANISE,Somalia,cayaanka,
HS-DEHUMANISE,Somalia,qashin,
HS-DEHUMANISE,Somalia,jareer,
HS-DEHUMANISE,Somalia,jareereed,
HS-DEHUMANISE,Kenya,madoadoa,
HS-DEHUMANISE,Kenya,mende,
HS-DEHUMANISE,Kenya,kwekwe,
HS-DEHUMANISE,South Sudan,nyor,
HS-DEHUMANISE,South Sudan,nyornyor,
HS-DEHUMANISE,South Sudan,nyam nyam,
HS-DEHUMANISE,South Sudan,unwanted luggage,
HS-DEHUMANISE,Regional,cockroach,
HS-DEHUMANISE,Regional,infestation,
HS-CLAN,Somalia,mooryaan,
HS-CLAN,Somalia,faqash,
HS-CLAN,Somalia,xaarood,
HS-CLAN,Somalia,hutuwiye,
HS-CLAN,Somalia,laangaab,
HS-CLAN,Somalia,qadaad weyn,
HS-CLAN,Somalia,idoor,
HS-CLAN,Somalia,eelay,
HS-CLAN,Somalia,qabiil dagaal,
HS-ETHNIC,Kenya,kihii,
HS-ETHNIC,Kenya,mwiji,
HS-ETHNIC,Kenya,ngetiik,
HS-ETHNIC,Kenya,conoka,
HS-ETHNIC,Kenya,muhoi,
HS-ETHNIC,Kenya,chorik,
HS-ETHNIC,Kenya,watu wa kurusha mawe,
HS-ETHNIC,South Sudan,jenge,
HS-ETHNIC,South Sudan,kokora,
HS-ETHNIC,South Sudan,dinkocracy,
HS-ETHNIC,South Sudan,jiengism,
HS-ETHNIC,South Sudan,monyjang power,
HS-ETHNIC,South Sudan,camjiec,
HS-ETHNIC,South Sudan,mathiang anyor,
HS-ETHNIC,South Sudan,warrapism,
HS-ETHNIC,South Sudan,juba na bari,
HS-ETHNIC,Somalia,sare guraale,
HS-RELIGIOUS,Somalia,kaafir,
HS-RELIGIOUS,Somalia,kufaar,
HS-RELIGIOUS,Somalia,gaal,
HS-RELIGIOUS,Somalia,gaalo,
HS-RELIGIOUS,Somalia,murtad,
HS-RELIGIOUS,Somalia,munaafiq,
HS-RELIGIOUS,Somalia,mushrik,
HS-RELIGIOUS,Somalia,takfir,
HS-RELIGIOUS,Somalia,riddah,
HS-RELIGIOUS,Somalia,saliibiyiin,
HS-RELIGIOUS,Somalia,dimuquraadiyadda shirkiga,
HS-RELIGIOUS,Somalia,calmaaniyad,
HS-RELIGIOUS,Kenya,chinja kafir,
HS-POLITICAL,South Sudan,kiiriminal,
HS-POLITICAL,South Sudan,konyo konyo regime,
HS-POLITICAL,South Sudan,tabanists,
HS-POLITICAL,Kenya,kura au risasi,
HS-POLITICAL,Kenya,mungiki,
HS-ANTI-FOREIGN,Kenya,wakuja,
HS-ANTI-FOREIGN,Kenya,wageni,
HS-GENDER,Somalia,gabadh sharaf la'aa,
HS-GENDER,Somalia,qaniis,
HS-GENDER,Somalia,gabar diin la'aa,
HS-GENDER,Somalia,sawir iska xir,
HS-GENDER,Kenya,mundu wa nja muuki,
