id,name,tier,url,focus,status
RP-T1-001,Digital Rights Frontlines,1,https://digitalrightsfrontlines.org,East Africa hate speech and disinformation,active
RP-T1-002,NCIC Kenya,1,https://cohesion.or.ke,Kenya hate speech monitoring,active
RP-T1-003,Tech Against Terrorism,1,https://techagainstterrorism.org,"VE content online, al-Shabaab specifically",active
RP-T1-004,Africa Check,1,https://africacheck.org,Fact-checking disinformation in Africa,active
RP-T1-005,PesaCheck,1,https://pesacheck.org,East Africa fact-checking,active
RP-T1-006,GNET (Global Network on Extremism & Technology),1,https://gnet-research.org,Terrorism and technology research,active
RP-T2-001,CTC West Point,2,https://ctc.westpoint.edu,Counterterrorism research,active
RP-T2-002,Long War Journal,2,https://www.longwarjournal.org,al-Shabaab and VE tracking,active
RP-T3-001,Radio Tamazuj,3,https://radiotamazuj.org,South Sudan news and reporting,active
RP-T3-002,Eye Radio,3,https://eyeradio.org,South Sudan news,active
RP-T3-003,Garowe Online,3,https://www.garoweonline.com,Somalia/Puntland news,active
