Month,Kenya,Regional,Somalia,South Sudan,Total
2020-06,0,0,1,0,1
2024-01,0,0,1,0,1
2024-08,0,0,1,0,1
2024-10,0,0,2,0,2
2024-11,0,0,6,0,6
2024-12,0,0,8,0,8
2025-01,1,0,11,0,12
2025-02,0,0,17,0,17
2025-03,0,0,15,0,15
2025-04,0,0,32,0,32
2025-05,0,0,21,1,22
2025-06,1,0,20,0,21
2025-07,0,0,24,0,24
2025-08,0,0,40,1,41
2025-09,0,0,49,1,50
2025-10,0,0,479,0,479
2025-11,21,0,75,16,112
2025-12,326,0,709,189,1224
2026-01,922,0,1346,464,2732
2026-02,414,0,729,786,1929
2026-03,58,7,216,24,305
Total,1743,7,3802,1482,7034
