platform,post_author_id,post_author_name_pi,post_comment_count,post_date,post_datetime,post_gather_id,post_id,post_like_count,post_link_pi,post_share_count,post_text_pi,comment_author_id,comment_author_name_pi,comment_date,comment_datetime,comment_gather_id,comment_id,comment_like_count,comment_link_pi,comment_parent_post_id,comment_replied_to_id,comment_text_pi,tiktok_post_plays,x_comment_is_quote,x_comment_is_reply,country,gather_topic,content_topic,primary_topic,phoenix_processed_at,phoenix_job_run_id,prob_afxumo,prob_not_afxumo,prob_toxicity,prob_severe_toxicity,prob_insult,prob_identity_attack,prob_threat,prob_sexually_explicit,prob_flirtation,topic_COUNTER_VE_LABELS,topic_HS_ANTI_FOREIGN,topic_HS_CASTE_RACISM,topic_HS_CLAN_HIERARCHY,topic_HS_CLAN_TARGETING,topic_HS_DEHUMANISATION_TARGETING,topic_HS_DEHUMANISE_MEDIA_TRUST,topic_HS_FACTIONAL_ATTACKS_AND_BETRAYAL,topic_HS_GBOV_GENDERED,topic_PEACE_CALLS_FOR_PEACE,topic_PEACE_INDIGENOUS_MECHANISMS,topic_PEACE_MEDIA_LITERACY_COUNTER_RUMOUR,topic_PEACE_RECONCILIATION_FORGIVENESS,topic_PEACE_TRADITIONAL_MEDIATION,topic_PEACE_UNITY_HEALING,topic_PEACE_WOMEN_VICTIM_SURVIVOR_VOICES,topic_RM_ATROCITY_PLANNING_RUMOURS,topic_VE_ATROCITY_AERIAL_AND_ATTACKS,topic_VE_CODED_YOUTH_REFERENCES,topic_VE_MILITIA_MOBILISATION,topic_VE_OPERATIONAL_ESCALATION,topic_VE_RECRUITMENT_COERCION,topic_VE_RELIGIOUS_JUSTIFICATION,topic_VE_SELF_REFERENCE_TERMS,topic_VE_TAKFIR_DEHUMANISE,topic_counter_disinfo_correction,topic_delegitimisation_anti_state,topic_explicit_violence_or_attack,topic_gendered_hate_or_humiliation,topic_grievance_victimhood,topic_interfaith_peace,topic_misdisinfo_rumour_conspiracy,topic_peace_cohesion_counter,topic_reconciliation_forgiveness,topic_religious_justification_takfir,topic_retaliation_mobilisation,topic_sectarian_or_religious_incitement,topic_sexualised_harm_or_humiliation,topic_unity_cohesion,topic_ve_attack_tactics,topic_ve_crossborder_diaspora,topic_ve_group_branding,topic_ve_propaganda_recruitment,topic_ve_recruitment_or_hijrah,topic_HS_MTN_CODED_METAPHOR_REVIEW,topic_RM_FINANCING_REQUESTS,topic_VE_ARABIC_PEACE_OR_WAR_TERMS_REVIEW,topic_VE_FINANCING_COORDINATION,topic_direct_threats_intimidation,topic_doxxing_or_personal_data_cues,topic_ve_bayah_affiliation,topic_HS_MILITARISATION_STEREOTYPE_MATHIANG_ANYOR,topic_VE_SECURITY_DELEGITIMATION_SPY_CLAIMS,topic_PEACE_HASHTAG_CAMPAIGNS,topic_nonviolence_deescalation,topic_expulsion_or_ethnic_cleansing_cues,topic_PEACE_ORG_REFERENCES,topic_PEACE_SYMBOLIC_SLOGANS,topic_HS_ETHNIC_SCAPEGOATING_JIENGE_CLUSTER,topic_HS_NATIONAL_IDENTITY_ANTI_ARAB_FRAMING,topic_HS_REGIONALISM_KOKORA,topic_HS_RETURN_DIASPORA_STIGMA,topic_coded_slurs_ethnic,topic_hate_slurs_or_coded,topic_identity_incitement_dehumanisation,EA_HS_Normal,EA_HS_Abusive,EA_HS_Hate,EA_HS_pred,EA_HS_conf,Polarization_Kenya_not_polarization,Polarization_Kenya_polarization,Afxumo_Somali_not_afxumo,Afxumo_Somali_afxumo,HateSpeech_Sudan_not_hate_speech,HateSpeech_Sudan_hate_speech,HateSpeech_Sudan_pred,HateSpeech_Sudan_conf,post_author_category,post_author_class,post_author_description_pi,post_author_followers_count,post_author_location,post_author_link_pi,post_class,comment_author_class,comment_class,facebook_video_views,x_post_retweeted_id,post_id_parent,post_text_pi_parent,post_author_id_parent,post_author_name_pi_parent,post_date_parent,post_datetime_parent,post_gather_id_parent,post_like_count_parent,post_share_count_parent,post_comment_count_parent,post_link_pi_parent,post_author_category_parent,post_author_class_parent,post_class_parent,platform_post,Polarization_Kenya_pred,Polarization_Kenya_conf,Afxumo_Somali_pred,Afxumo_Somali_conf
x,cdc1a679-61ec-c1e1-36b6-d99136d3c656,spvaid,14.0,2018-02-23,2018-02-23 09:05:38 UTC,1320.0,9e1f2b72-45ed-e0bd-06e0-99726550af82,327.0,https://x.com/spvaid/status/966962241131204608,63.0,Due to firing/shelling from across in border areas of Uri about 500 people migrate to safer areas . DC/SSP on spot looking after the people.,,,,,,,,,,,,,,,Kenya,Violent Extremism,Hate Speech,Violent Extremism,2026-01-15 15:40:46.723151 UTC,2325,very_high,,low,low,low,low,low,low,medium,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,,,,,,,,,0.9973241090774536,0.0020421640947461,0.0006336612277664,Normal,0.9973241090774536,0.9645127058029176,0.0354872532188892,0.194338783621788,0.8056612014770508,0.9987452030181885,0.0012547874357551336,not_hate_speech,0.9987452030181885,,,,,,,,,,,,,,,,,,,,,,,,,,,not_polarization,0.9645127058029176,afxumo,0.8056612014770508
x,2d19f221-73e6-d9d2-36ad-8c152ca534f5,vanguardngrnews,179.0,2020-10-15,2020-10-15 07:04:00 UTC,1320.0,0a96d4c0-7641-f526-6de1-ddf07db94c49,314.0,https://x.com/vanguardngrnews/status/1316635922914516992,109.0,ENDSARS Protests: Army warns subversive elements to desist from Anti-Democratic Acts https://t.co/tz3TP7R6Dp,,,,,,,,,,,,,,,Kenya,Violent Extremism,Hate Speech,Violent Extremism,2026-01-15 15:40:46.723151 UTC,2325,very_high,,low,low,low,low,low,low,medium,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,,,,,,,,,0.3142575323581695,0.558397650718689,0.1273448765277862,Abusive,0.558397650718689,0.9938595294952391,0.0061404164880514,0.0437275543808937,0.9562724232673644,0.9992160797119141,0.0007839511381462216,not_hate_speech,0.9992160797119141,,,,,,,,,,,,,,,,,,,,,,,,,,,not_polarization,0.9938595294952391,afxumo,0.9562724232673644
x,b95ea97b-c229-18e8-5f1b-8ded1f439a69,JoeBrolly1993,47.0,2022-11-01,2022-11-01 16:20:30 UTC,1320.0,db9587d0-f3c4-7066-c586-9d7ea8c70cf7,652.0,https://x.com/JoeBrolly1993/status/1587479706005389313,135.0,"The @duponline TUV &amp; their militant loyalist allies are stirring up their communities, spreading fear they are under attack, being persecuted, maintaining a pretence of a near state of war using highly emotive language. A dangerous fantasy with @J_Donaldson_MP leading the charge https://t.co/Izn1cONk2O",,,,,,,,,,,,,,,Kenya,Violent Extremism,Hate Speech,Violent Extremism,2026-01-15 15:40:46.723151 UTC,2325,very_high,,low,low,low,low,low,low,medium,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,,,,,,,,,0.9460235238075256,0.0308872498571872,0.0230893176048994,Normal,0.9460235238075256,0.933330535888672,0.0666694790124893,0.014002158306539,0.9859977960586548,0.9985858201980591,0.0014141821302473545,not_hate_speech,0.9985858201980591,,,,,,,,,,,,,,,,,,,,,,,,,,,not_polarization,0.933330535888672,afxumo,0.9859977960586548
x,d40f48c6-71c1-5f44-1dee-ab4913f0811a,LevinaNeythiri,10.0,2023-01-08,2023-01-08 10:08:55 UTC,1320.0,987ca0fa-0ed1-2377-0b6d-ccebbbaffb85,186.0,https://x.com/LevinaNeythiri/status/1612028566903857152,72.0,"1/2 
~Insurgents groups of #NorthEast are stuck between DEVIL &amp; DEEP BLUE SEA‼️They are neither safe inside India nor outside it.
~We have posted 2 recent incidents which show #VBIG’s dilemma.
🔴Lesson: Drop ur WEAPONS, accept PEACE. Complete video 👉https://t.co/VpWWODSqJr https://t.co/sEm5bEqTir",,,,,,,,,,,,,,,Kenya,Violent Extremism,Hate Speech,Violent Extremism,2026-01-15 15:40:46.723151 UTC,2325,very_high,,low,low,low,low,low,low,medium,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,,,,,,,,,0.0418988615274429,0.2458799332380294,0.7122212052345276,Hate,0.7122212052345276,0.9989795088768004,0.0010205110302194,0.122005857527256,0.8779941201210022,0.999117910861969,0.0008820518269203603,not_hate_speech,0.999117910861969,,,,,,,,,,,,,,,,,,,,,,,,,,,not_polarization,0.9989795088768004,afxumo,0.8779941201210022
x,fc7c1a35-7862-7e19-d264-d05d82194ab3,I_Katchanovski,15.0,2023-08-23,2023-08-23 03:14:36 UTC,1320.0,609a9fe5-ebb4-66eb-086e-d3eb98551316,246.0,https://x.com/I_Katchanovski/status/1694186347706060896,77.0,"BBC also changes tune: ""Thousands often try to sneak out of the country, mostly across the Carpathian mountains to Romania. For those who stay, mass group chats help them avoid being drafted. Telegram threads give tip-offs on where drafting officers are patrolling. There are",,,,,,,,,,,,,,,Kenya,Violent Extremism,Hate Speech,Violent Extremism,2026-01-15 15:40:46.723151 UTC,2325,,high,low,low,low,low,low,low,medium,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,,,,,,,,,0.9994109869003296,0.0004640964034479,0.0001249481429113,Normal,0.9994109869003296,0.9987778067588806,0.0012221739161759,0.6158425211906433,0.3841575086116791,0.9988665580749512,0.0011335226008668542,not_hate_speech,0.9988665580749512,,,,,,,,,,,,,,,,,,,,,,,,,,,not_polarization,0.9987778067588806,not_afxumo,0.6158425211906433
x,6ca9fd46-3452-9f31-644e-bdbdf0ae55d5,BillowKerrow,106.0,2023-09-08,2023-09-08 12:43:46 UTC,1305.0,9fc94f38-b69a-ca44-f066-8ca78a6da660,228.0,https://x.com/BillowKerrow/status/1700127789272219822,121.0,"Mandera county in the top 4 counties with the highest number of corruption cases. Very sad! Worse still, all the top 4 are in ASAL Kenya. 
https://t.co/OiepUAsNK7",,,,,,,,,,,,,,,Kenya,Violent Extremism,Hate Speech,Violent Extremism,2026-01-15 15:40:46.723151 UTC,2325,,high,low,low,low,low,low,low,medium,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,,,,,,,,,0.9963734745979308,0.0030823173001408,0.0005442315014079,Normal,0.9963734745979308,0.9984655380249025,0.0015345088904723,0.6640514135360718,0.3359485566616058,0.9989013671875,0.0010985687840729952,not_hate_speech,0.9989013671875,,,,,,,,,,,,,,,,,,,,,,,,,,,not_polarization,0.9984655380249025,not_afxumo,0.6640514135360718
x,d6f1c333-c991-e80b-3894-6eed646cec2d,ewdifh,38.0,2023-10-26,2023-10-26 22:17:35 UTC,1320.0,4e93d478-7b03-9131-8fc9-b678ca78993e,432.0,https://x.com/ewdifh/status/1717666814384066694,54.0,"(🔴) هام (الأخبار العسكرية):

1- الجوازات (وظائف) غداً السبت:
رابط: https://t.co/4fH7939nRz

2- التجنيد الموّحد (للجنسين) قريباً:
رابط: https://t.co/tKvkVWAGeH

3- الكلية الأمنية (القبول النهائي):
رابط: https://t.co/qKe76cUGRn
#وظائف_عسكرية https://t.co/ViqA17a3Eg",,,,,,,,,,,,,,,Kenya,Violent Extremism,Hate Speech,Violent Extremism,2026-01-15 15:40:46.723151 UTC,2325,,very_high,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,,,,,,,,,0.9997429251670836,0.0001634946092963,9.357276576338336e-05,Normal,0.9997429251670836,0.9996991157531738,0.0003009662323165,0.9877342581748962,0.0122657166793942,0.999422550201416,0.0005774504388682544,not_hate_speech,0.999422550201416,,,,,,,,,,,,,,,,,,,,,,,,,,,not_polarization,0.9996991157531738,not_afxumo,0.9877342581748962
x,d6f1c333-c991-e80b-3894-6eed646cec2d,ewdifh,51.0,2023-11-04,2023-11-04 05:21:55 UTC,1320.0,96096f15-9259-117f-9a43-73daeb2edc7a,363.0,https://x.com/ewdifh/status/1720672703403663599,66.0,"(🔴) #التجنيد_الموّحد (للجنسين):

▪️ الموعد (غداً الأحد ١٤٤٥/٤/٢١هـ إلى الخميس ١٤٤٥/٤/٢٥هـ).
▪️ الرتبة (جندي، جندي أول، عريف، وكيل رقيب، رقيب).
▪️ المؤهل (ثانوية، دبلوم، بكالوريوس).
▪️ التخصص (أكثر من ١٠٠ تخصص).

تفاصيل: https://t.co/tKvkVWAGeH https://t.co/oLABJYINka",,,,,,,,,,,,,,,Kenya,Violent Extremism,Hate Speech,Violent Extremism,2026-01-15 15:40:46.723151 UTC,2325,,very_high,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,,,,,,,,,0.9997671246528624,0.0001378614251734,9.493466495769098e-05,Normal,0.9997671246528624,0.9998140931129456,0.0001858792966231,0.9875590205192566,0.0124409208074212,0.9994107484817505,0.000589238537941128,not_hate_speech,0.9994107484817505,,,,,,,,,,,,,,,,,,,,,,,,,,,not_polarization,0.9998140931129456,not_afxumo,0.9875590205192566
x,b2cda3d5-a257-7e1b-96ee-c4cc1835f2e9,BladeoftheS,29.0,2023-11-04,2023-11-04 19:18:00 UTC,1320.0,89bc364d-6e7b-0dc2-586c-021960d328ee,230.0,https://x.com/BladeoftheS/status/1720883110160531921,120.0,"Government's new plans as of Today, to brand anyone who disagrees with them as an extremist.

The need to crackdown on protestors and opposition to the Government is caused by opposition to the Government.

It is the sign of a failed state collapsing into fascism. https://t.co/RRhwK0Hdx8",,,,,,,,,,,,,,,Kenya,Violent Extremism,Hate Speech,Violent Extremism,2026-01-15 15:40:46.723151 UTC,2325,very_high,,low,low,low,low,low,low,medium,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,,,,,,,,,0.1900047361850738,0.6550194025039673,0.1549758911132812,Abusive,0.6550194025039673,0.997779667377472,0.0022203286644071,0.0348302647471427,0.9651697874069214,0.9991426467895508,0.0008573048980906606,not_hate_speech,0.9991426467895508,,,,,,,,,,,,,,,,,,,,,,,,,,,not_polarization,0.997779667377472,afxumo,0.9651697874069214
x,629c5934-4f25-c09f-15aa-dfc8450c1c13,ElsadelCastill3,65.0,2023-11-07,2023-11-07 01:06:42 UTC,1320.0,b089fe43-9653-4fb3-e300-d51b239f715b,452.0,https://x.com/ElsadelCastill3/status/1721695637371011179,313.0,"‼️Hoy tenían la orden de PROVOCAR MIEDO‼️

Lo de hoy ha sido una CARGA ""PREVENTIVA"", para AMEDRENTAR y disolver las próximas. Quieren infundir MIEDO y que la gente desista.  

SON ELLOS LOS QUE ESTÁN ASUSTADOS Y NERVIOSOS. 

Debería ir más gente todavía y no asustarse, es lo que https://t.co/4OHi1pln3v",,,,,,,,,,,,,,,Kenya,Violent Extremism,Hate Speech,Violent Extremism,2026-01-15 15:40:46.723151 UTC,2325,very_high,,low,low,low,low,low,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,,,,,,,,,0.0031101237982511,0.2300055921077728,0.7668842673301697,Hate,0.7668842673301697,0.9991218447685242,0.0008781951037235,0.1088822036981582,0.8911178112030029,0.9986485838890076,0.0013514348538592458,not_hate_speech,0.9986485838890076,,,,,,,,,,,,,,,,,,,,,,,,,,,not_polarization,0.9991218447685242,afxumo,0.8911178112030029
