platform,post_author_id,post_author_name_pi,post_comment_count,post_date,post_datetime,post_gather_id,post_id,post_like_count,post_link_pi,post_share_count,post_text_pi,comment_author_id,comment_author_name_pi,comment_date,comment_datetime,comment_gather_id,comment_id,comment_like_count,comment_link_pi,comment_parent_post_id,comment_replied_to_id,comment_text_pi,tiktok_post_plays,x_comment_is_quote,x_comment_is_reply,country,gather_topic,content_topic,primary_topic,phoenix_processed_at,phoenix_job_run_id,prob_afxumo,prob_not_afxumo,prob_toxicity,prob_severe_toxicity,prob_insult,prob_identity_attack,prob_threat,prob_sexually_explicit,prob_flirtation,topic_COUNTER_VE_LABELS,topic_HS_ANTI_FOREIGN,topic_HS_CASTE_RACISM,topic_HS_CLAN_HIERARCHY,topic_HS_CLAN_TARGETING,topic_HS_DEHUMANISATION_TARGETING,topic_HS_DEHUMANISE_MEDIA_TRUST,topic_HS_FACTIONAL_ATTACKS_AND_BETRAYAL,topic_HS_GBOV_GENDERED,topic_PEACE_CALLS_FOR_PEACE,topic_PEACE_INDIGENOUS_MECHANISMS,topic_PEACE_MEDIA_LITERACY_COUNTER_RUMOUR,topic_PEACE_RECONCILIATION_FORGIVENESS,topic_PEACE_TRADITIONAL_MEDIATION,topic_PEACE_UNITY_HEALING,topic_PEACE_WOMEN_VICTIM_SURVIVOR_VOICES,topic_RM_ATROCITY_PLANNING_RUMOURS,topic_VE_ATROCITY_AERIAL_AND_ATTACKS,topic_VE_CODED_YOUTH_REFERENCES,topic_VE_MILITIA_MOBILISATION,topic_VE_OPERATIONAL_ESCALATION,topic_VE_RECRUITMENT_COERCION,topic_VE_RELIGIOUS_JUSTIFICATION,topic_VE_SELF_REFERENCE_TERMS,topic_VE_TAKFIR_DEHUMANISE,topic_counter_disinfo_correction,topic_delegitimisation_anti_state,topic_explicit_violence_or_attack,topic_gendered_hate_or_humiliation,topic_grievance_victimhood,topic_interfaith_peace,topic_misdisinfo_rumour_conspiracy,topic_peace_cohesion_counter,topic_reconciliation_forgiveness,topic_religious_justification_takfir,topic_retaliation_mobilisation,topic_sectarian_or_religious_incitement,topic_sexualised_harm_or_humiliation,topic_unity_cohesion,topic_ve_attack_tactics,topic_ve_crossborder_diaspora,topic_ve_group_branding,topic_ve_propaganda_recruitment,topic_ve_recruitment_or_hijrah,topic_HS_MTN_CODED_METAPHOR_REVIEW,topic_RM_FINANCING_REQUESTS,topic_VE_ARABIC_PEACE_OR_WAR_TERMS_REVIEW,topic_VE_FINANCING_COORDINATION,topic_direct_threats_intimidation,topic_doxxing_or_personal_data_cues,topic_ve_bayah_affiliation,topic_HS_MILITARISATION_STEREOTYPE_MATHIANG_ANYOR,topic_VE_SECURITY_DELEGITIMATION_SPY_CLAIMS,topic_PEACE_HASHTAG_CAMPAIGNS,topic_nonviolence_deescalation,topic_expulsion_or_ethnic_cleansing_cues,topic_PEACE_ORG_REFERENCES,topic_PEACE_SYMBOLIC_SLOGANS,topic_HS_ETHNIC_SCAPEGOATING_JIENGE_CLUSTER,topic_HS_NATIONAL_IDENTITY_ANTI_ARAB_FRAMING,topic_HS_REGIONALISM_KOKORA,topic_HS_RETURN_DIASPORA_STIGMA,topic_coded_slurs_ethnic,topic_hate_slurs_or_coded,topic_identity_incitement_dehumanisation,EA_HS_Normal,EA_HS_Abusive,EA_HS_Hate,EA_HS_pred,EA_HS_conf,Polarization_Kenya_not_polarization,Polarization_Kenya_polarization,Afxumo_Somali_not_afxumo,Afxumo_Somali_afxumo,HateSpeech_Sudan_not_hate_speech,HateSpeech_Sudan_hate_speech,HateSpeech_Sudan_pred,HateSpeech_Sudan_conf,post_author_category,post_author_class,post_author_description_pi,post_author_followers_count,post_author_location,post_author_link_pi,post_class,comment_author_class,comment_class,facebook_video_views,x_post_retweeted_id,post_id_parent,post_text_pi_parent,post_author_id_parent,post_author_name_pi_parent,post_date_parent,post_datetime_parent,post_gather_id_parent,post_like_count_parent,post_share_count_parent,post_comment_count_parent,post_link_pi_parent,post_author_category_parent,post_author_class_parent,post_class_parent,platform_post,Polarization_Kenya_pred,Polarization_Kenya_conf,Afxumo_Somali_pred,Afxumo_Somali_conf
x,2d8989d5-0a0d-a90e-8a32-63e9b40aaa4d,anealla,49.0,2017-10-17,2017-10-17 12:46:37 UTC,1315.0,00d97cab-afbd-54ee-4357-ddc5b2e22665,215.0,https://x.com/anealla/status/920269821807181824,247.0,"300+ killed, 300 injured, hospitals running out of blood, Mogadishu struggling to clear rubble. Why don't we care? https://t.co/vn8J79XDpA",,,,,,,,,,,,,,,Somalia,Peace,Hate Speech,Peace,2026-01-15 15:40:46.723151 UTC,2325,,high,medium,low,low,low,medium,low,medium,0.0,,,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,,,,0.9988756775856018,0.0008305717492476,0.0002937802055384,Normal,0.9988756775856018,,,0.5070053339004517,0.4929946362972259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,bc90a781-32e1-f42b-df16-527c6e0fbf00,dorarnet,10.0,2019-02-14,2019-02-14 08:00:37 UTC,1315.0,e1ebb098-577b-1df6-2e51-9f1a3a183a0b,636.0,https://x.com/dorarnet/status/1095955960252825600,143.0,"#تطبيق_الموسوعة_الحديثية
أسرع وأوثق طريقة للتأكد من صحة #الحديث

والآن بعد أكثر من مليون ونصف تحميل..
ولأن ثقتكم غالية..
نهديكم النسخة المطوّرة وفيها إضافات علمية وتقنية مع تصميم أنيق
لتحميل التطبيق
https://t.co/XhiuxWDax8

كن شريكا في نشر الخير وبلغ الآخرين
#اطلاق_تطبيق_الحديثيه https://t.co/F6npYK3pba",,,,,,,,,,,,,,,Somalia,Peace,Hate Speech,Peace,2026-01-15 15:40:46.723151 UTC,2325,,very_high,,,,,,,,0.0,,,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,,,,0.9997486472129822,0.0001751714153215,7.614467176608741e-05,Normal,0.9997486472129822,,,0.99032461643219,0.0096754422411322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,5693e29c-97ee-c26a-a6f7-417cd97251ba,DrSyedSehrish,96.0,2020-04-04,2020-04-04 13:42:17 UTC,1315.0,6bb20541-d8ec-24c1-acac-717e5f0503db,801.0,https://x.com/DrSyedSehrish/status/1246432907788337153,100.0,Our initiative to help you counter fake news. DIPRJK in its endeavour to help you with true information launches the website https://t.co/KTLuAQCXaq Check what's fact &amp; what's fiction. Our effort to kill fake news &amp; empower the public with information. https://t.co/VEuvHHDI0z,,,,,,,,,,,,,,,Somalia,Peace,Hate Speech,Peace,2026-01-15 15:40:46.723151 UTC,2325,,very_high,low,low,low,low,low,low,medium,0.0,,,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,,,,0.9994211196899414,0.0003580212651286,0.0002208747755503,Normal,0.9994211196899414,,,0.8566116094589233,0.1433884352445602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,8aca42c8-7b0a-fbde-b0f9-7748a053a6fd,MOFASomalia,53.0,2021-01-28,2021-01-28 22:31:59 UTC,1315.0,7819d518-1599-d921-bac0-4c1a167e13e5,271.0,https://x.com/MOFASomalia/status/1354920183509495809,131.0,"The Federal Government of #Somalia will continue to exercise considerable restraint, call on #IGAD to rescind this frivolous report, and to commission a multinational fact finding mission. 
🔗➡https://t.co/V6aZaX7WEi
#Somali #BeledHawo #Gedo #Kenya #KDF #AMISOM https://t.co/j3VCTTwe1V",,,,,,,,,,,,,,,Somalia,Peace,Other,Peace,2026-01-15 15:40:46.723151 UTC,2325,,very_high,low,low,low,low,low,low,medium,0.0,,,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,,,,0.999292492866516,0.0003741245891433,0.0003332814667373,Normal,0.999292492866516,,,0.9756885170936584,0.0243114754557609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,e066575c-b524-950f-0e24-065c0e0a9461,SheabiaForever,20.0,2021-03-08,2021-03-08 15:45:44 UTC,1315.0,c5491e69-b2d4-fd8e-9e62-474d4b307ab3,202.0,https://x.com/SheabiaForever/status/1368951074208559105,201.0,"Fake news main source
                         ↓
                      @AP
             ⇙         ↓       ⇘ 
Rashid         Martin      Kejil 
    ⇙                       ↓          ⇘  @AmnestyEARO @hrw  #NGO
↓                  ↓          ↓ 
@CNN    @BBC   @AJEnglish",,,,,,,,,,,,,,,Somalia,Peace,Hate Speech,Peace,2026-01-15 15:40:46.723151 UTC,2325,,very_high,low,low,low,low,low,low,medium,0.0,,,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,,,,0.9973926544189452,0.0018863457953557,0.0007210219628177,Normal,0.9973926544189452,,,0.9839438199996948,0.0160561613738536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,8389988b-b554-b836-4ad1-5025ed9a3e5e,RAbdiAnalyst,29.0,2021-04-27,2021-04-27 10:09:59 UTC,1315.0,254e727b-05a5-4a20-934d-346d81a7f248,204.0,https://x.com/RAbdiAnalyst/status/1386985973020610562,64.0,"How media misreporting Somalia:

*⃣Opposition  runs clan ""militia"" - this is despite fact over half are from army, police.
*⃣""Anti-Farmajo protests"", not pro-democracy.
*⃣Farmajo forces called ""government forces"".
*⃣Farmajo called ""president"" even though his term ended 8 Feb.",,,,,,,,,,,,,,,Somalia,Peace,Other,Peace,2026-01-15 15:40:46.723151 UTC,2325,very_high,,low,low,low,low,low,low,medium,0.0,,,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,,,,0.8796075582504272,0.1137489080429077,0.006643527187407,Normal,0.8796075582504272,,,0.2063462138175964,0.7936537861824036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,f9ff4a05-4028-9cc0-a0e9-c83b1bbf7975,OpIndia_com,5.0,2021-08-25,2021-08-25 02:50:00 UTC,1315.0,3593f550-c72a-2247-280c-5ff34b951718,277.0,https://x.com/OpIndia_com/status/1430361790022512651,113.0,"Self-proclaimed “fact-checking” portal Alt News has earned itself the dubious distinction of summarily dishing out “clean chits” based on flimsy evidence and serving as an apologist of Islamists
https://t.co/sHBG67Ouws",,,,,,,,,,,,,,,Somalia,Peace,Hate Speech,Peace,2026-01-15 15:40:46.723151 UTC,2325,very_high,,low,low,low,low,low,low,medium,0.0,,,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,,,,0.344096302986145,0.5838876962661743,0.0720160230994224,Abusive,0.5838876962661743,,,0.0616877041757106,0.9383123517036438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,5b4483ae-2777-d63c-250d-43a9a434a868,ShAbdiHersy,28.0,2022-02-03,2022-02-03 17:32:03 UTC,1315.0,e78d9fc7-d0b6-ed98-f416-4ab5284440e0,192.0,https://x.com/ShAbdiHersy/status/1489290600264261635,63.0,"BREAKING: 1. Somalia has officially sent an authoritative letter to @globeandmail regarding their defamation of @SNAForce based on a Fake news!

2. Money circulated to be confiscated in Mogadishu is a FAKE news. https://t.co/K6m8sLruUw",,,,,,,,,,,,,,,Somalia,Peace,Hate Speech,Peace,2026-01-15 15:40:46.723151 UTC,2325,very_high,,low,low,low,low,low,low,medium,0.0,,,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,,,,0.8280390501022339,0.1516566723585128,0.020304212346673,Normal,0.8280390501022339,,,0.0138966664671897,0.9861032962799072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,d03fe3e3-97cd-9e33-97b5-f0b9cd369b3c,EIshmael_,20.0,2023-03-18,2023-03-18 06:17:25 UTC,1315.0,1157ba42-25ac-8e86-7275-0f50bd2d0421,216.0,https://x.com/EIshmael_/status/1636975072106643456,58.0,"Secessionist Somaliland National TV is using propaganda to manipulate public opinion. Some are even likening the tactics used by the media outlet to that of Radio Rwanda during the Rwandan genocide

The striking similarity between two images posted on different dates, one on https://t.co/rBvb9T3LFy",,,,,,,,,,,,,,,Somalia,Peace,Hate Speech,Peace,2026-01-15 15:40:46.723151 UTC,2325,very_high,,low,low,low,low,low,low,medium,0.0,,,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,,,,0.9965678453445436,0.0032010783907026,0.0002310954441782,Normal,0.9965678453445436,,,0.0096514290198683,0.9903485774993896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,fe15e9fa-a581-7e47-7ff0-e4e702178c83,HonestReporting,34.0,2023-11-16,2023-11-16 10:56:32 UTC,1315.0,b38c75dd-b01f-a88a-7140-5e4a1ee4a6f6,454.0,https://x.com/HonestReporting/status/1725105566769414420,153.0,"BBC Verify, created by @BBCNews to address disinformation, publishes an article examining how the dead are counted in Gaza, yet fails to mention that the Gaza health ministry, which supplies the casualty figures, is run by Hamas.
https://t.co/axg2HEq4P7",,,,,,,,,,,,,,,Somalia,Peace,Peace,Peace,2026-01-15 15:40:46.723151 UTC,2325,,very_high,low,low,low,low,low,low,medium,0.0,,,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,,,,0.9995508790016174,0.0003277801151853,0.0001212840797961,Normal,0.9995508790016174,,,0.8688057661056519,0.1311941891908645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
