platform,post_author_id,post_author_name_pi,post_comment_count,post_date,post_datetime,post_gather_id,post_id,post_like_count,post_link_pi,post_share_count,post_text_pi,comment_author_id,comment_author_name_pi,comment_date,comment_datetime,comment_gather_id,comment_id,comment_like_count,comment_link_pi,comment_parent_post_id,comment_replied_to_id,comment_text_pi,tiktok_post_plays,x_comment_is_quote,x_comment_is_reply,country,gather_topic,content_topic,primary_topic,phoenix_processed_at,phoenix_job_run_id,prob_afxumo,prob_not_afxumo,prob_toxicity,prob_severe_toxicity,prob_insult,prob_identity_attack,prob_threat,prob_sexually_explicit,prob_flirtation,topic_COUNTER_VE_LABELS,topic_HS_ANTI_FOREIGN,topic_HS_CASTE_RACISM,topic_HS_CLAN_HIERARCHY,topic_HS_CLAN_TARGETING,topic_HS_DEHUMANISATION_TARGETING,topic_HS_DEHUMANISE_MEDIA_TRUST,topic_HS_FACTIONAL_ATTACKS_AND_BETRAYAL,topic_HS_GBOV_GENDERED,topic_PEACE_CALLS_FOR_PEACE,topic_PEACE_INDIGENOUS_MECHANISMS,topic_PEACE_MEDIA_LITERACY_COUNTER_RUMOUR,topic_PEACE_RECONCILIATION_FORGIVENESS,topic_PEACE_TRADITIONAL_MEDIATION,topic_PEACE_UNITY_HEALING,topic_PEACE_WOMEN_VICTIM_SURVIVOR_VOICES,topic_RM_ATROCITY_PLANNING_RUMOURS,topic_VE_ATROCITY_AERIAL_AND_ATTACKS,topic_VE_CODED_YOUTH_REFERENCES,topic_VE_MILITIA_MOBILISATION,topic_VE_OPERATIONAL_ESCALATION,topic_VE_RECRUITMENT_COERCION,topic_VE_RELIGIOUS_JUSTIFICATION,topic_VE_SELF_REFERENCE_TERMS,topic_VE_TAKFIR_DEHUMANISE,topic_counter_disinfo_correction,topic_delegitimisation_anti_state,topic_explicit_violence_or_attack,topic_gendered_hate_or_humiliation,topic_grievance_victimhood,topic_interfaith_peace,topic_misdisinfo_rumour_conspiracy,topic_peace_cohesion_counter,topic_reconciliation_forgiveness,topic_religious_justification_takfir,topic_retaliation_mobilisation,topic_sectarian_or_religious_incitement,topic_sexualised_harm_or_humiliation,topic_unity_cohesion,topic_ve_attack_tactics,topic_ve_crossborder_diaspora,topic_ve_group_branding,topic_ve_propaganda_recruitment,topic_ve_recruitment_or_hijrah,topic_HS_MTN_CODED_METAPHOR_REVIEW,topic_RM_FINANCING_REQUESTS,topic_VE_ARABIC_PEACE_OR_WAR_TERMS_REVIEW,topic_VE_FINANCING_COORDINATION,topic_direct_threats_intimidation,topic_doxxing_or_personal_data_cues,topic_ve_bayah_affiliation,topic_HS_MILITARISATION_STEREOTYPE_MATHIANG_ANYOR,topic_VE_SECURITY_DELEGITIMATION_SPY_CLAIMS,topic_PEACE_HASHTAG_CAMPAIGNS,topic_nonviolence_deescalation,topic_expulsion_or_ethnic_cleansing_cues,topic_PEACE_ORG_REFERENCES,topic_PEACE_SYMBOLIC_SLOGANS,topic_HS_ETHNIC_SCAPEGOATING_JIENGE_CLUSTER,topic_HS_NATIONAL_IDENTITY_ANTI_ARAB_FRAMING,topic_HS_REGIONALISM_KOKORA,topic_HS_RETURN_DIASPORA_STIGMA,topic_coded_slurs_ethnic,topic_hate_slurs_or_coded,topic_identity_incitement_dehumanisation,EA_HS_Normal,EA_HS_Abusive,EA_HS_Hate,EA_HS_pred,EA_HS_conf,Polarization_Kenya_not_polarization,Polarization_Kenya_polarization,Afxumo_Somali_not_afxumo,Afxumo_Somali_afxumo,HateSpeech_Sudan_not_hate_speech,HateSpeech_Sudan_hate_speech,HateSpeech_Sudan_pred,HateSpeech_Sudan_conf,post_author_category,post_author_class,post_author_description_pi,post_author_followers_count,post_author_location,post_author_link_pi,post_class,comment_author_class,comment_class,facebook_video_views,x_post_retweeted_id,post_id_parent,post_text_pi_parent,post_author_id_parent,post_author_name_pi_parent,post_date_parent,post_datetime_parent,post_gather_id_parent,post_like_count_parent,post_share_count_parent,post_comment_count_parent,post_link_pi_parent,post_author_category_parent,post_author_class_parent,post_class_parent,platform_post,Polarization_Kenya_pred,Polarization_Kenya_conf,Afxumo_Somali_pred,Afxumo_Somali_conf
x,75ad28e9-8d21-60ff-ef61-0bf2711c5085,MaziNnamdiKanu,992.0,2020-07-20,2020-07-20 14:49:15 UTC,1300.0,f9de3acf-ddb7-7334-3369-dbbd25428736,5862.0,https://x.com/MaziNnamdiKanu/status/1285225263626964993,7546.0,"Latest installation of the unique brand of Fulani (Miyetti Allah) savagery visited upon Hausa populations of Kukum Daji in Kagoro Kaura LGA in Southern Kaduna earlier today. It seems in Nigeria, Britain have succeeded in creating the perfect hell on earth. 

End Nigeria now! https://t.co/KcWgdU09a9",,,,,,,,,,,,,,,Somalia,Violent Extremism,Hate Speech,Violent Extremism,2026-01-15 15:40:46.723151 UTC,2325,,high,medium,low,medium,medium,low,low,medium,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,0.0019338516285642,0.0613397695124149,0.9367263913154602,Hate,0.9367263913154602,,,0.6254162192344666,0.3745837807655334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,8c0562d5-ab99-8aea-8a4c-c9aeada85df0,TheVillaSomalia,51.0,2023-12-17,2023-12-17 19:19:59 UTC,1313.0,f79a5f43-d45d-6dcc-397e-dc1f8d358dae,315.0,https://x.com/TheVillaSomalia/status/1736466286593601766,64.0,"Historic Milestone:After 16 yrs, the Somali National Armed Forces and SPF have officially taken over security responsibilities for the State House and Federal Parliament House from ATMIS.This significant step marks progress in Somalia's journey toward self-reliance and stability. https://t.co/CeU64ePSEv",,,,,,,,,,,,,,,Somalia,Violent Extremism,Hate Speech,Violent Extremism,2026-01-15 15:40:46.723151 UTC,2325,,very_high,low,low,low,low,low,low,medium,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,0.999671459197998,0.0002173039974877,0.0001113059188355,Normal,0.999671459197998,,,0.9421281218528748,0.0578718557953834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,b8dd12d1-b9ac-3ca2-a506-ac28344b853e,papayaga202,20.0,2024-02-02,2024-02-02 21:54:28 UTC,1313.0,e2c4e92c-fe70-821d-529b-6e7eb72f0c3e,152.0,https://x.com/papayaga202/status/1753537395344244832,69.0,"Unearth the extraordinary narrative of Somaliland’s entrepreneurial spirit! 

#Somaliland 

 https://t.co/Azx6EjAtM7",,,,,,,,,,,,,,,Somalia,Violent Extremism,Hate Speech,Violent Extremism,2026-01-15 15:40:46.723151 UTC,2325,,very_high,low,low,low,low,low,low,medium,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,0.99960058927536,0.0002593231329228,0.0001401304034516,Normal,0.99960058927536,,,0.968685269355774,0.0313147529959678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,0aabb723-b819-78c2-2a4b-55c7f9c885ea,251Media,17.0,2024-10-04,2024-10-04 06:50:39 UTC,1313.0,cdf81ee6-7af9-596c-b911-a17ae2c21914,221.0,https://x.com/251Media/status/1842094967994626380,68.0,"ሰበር ፍኖተ ሰላም 

 የምእራብ ጎጃም ዞን ዋና ከተማ የሆነችው ፍኖተ ሰላም በ  አማራ ፋኖ በጎጃም ራስ ቢትወደድ መንገሻ አቲከም ( 5 ተኛ ክፍለጦር ) ቀጨም ተደርጋለች።  

በተያያዘም በክፍለጦሩ ብርጌዶች በተሰራ ልዩ ኦፕሬሽን ሽንዲ ከተማ እና አለፋ https://t.co/vIT6FJFbNL",,,,,,,,,,,,,,,Somalia,Violent Extremism,Hate Speech,Violent Extremism,2026-01-15 15:40:46.723151 UTC,2325,,very_high,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,0.9997581839561462,0.0001403787027811,0.0001014513618429,Normal,0.9997581839561462,,,0.7959377765655518,0.2040621638298034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,9597da9b-8271-58e7-2092-b709e1522bc0,Elhadjidiagne25,10.0,2024-11-01,2024-11-01 21:38:34 UTC,1313.0,0fdf3ad0-c523-c958-edc7-1324942a0c89,1166.0,https://x.com/Elhadjidiagne25/status/1852465278199705870,93.0,"Allahumma salli ‘alaa sayyidinaa muhammadin-il-faatihi limaa ughliqa wa-l-khaatimi limaa sabaqa naasiri-l-haqqi bi-l-haqqi
Wa-l-haadi ilaa siraatika-l-mustaqiimi wa ‘alaa aalihii haqqa qadrihi wa miqdaarihi-l-‘aziim https://t.co/zcJlJFB0O4",,,,,,,,,,,,,,,Somalia,Violent Extremism,Hate Speech,Violent Extremism,2026-01-15 15:40:46.723151 UTC,2325,,high,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,0.9997736811637878,0.0001281864097109,9.807989408727737e-05,Normal,0.9997736811637878,,,0.5763187408447266,0.4236812591552734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,9597da9b-8271-58e7-2092-b709e1522bc0,Elhadjidiagne25,28.0,2024-11-02,2024-11-02 11:39:55 UTC,1313.0,e92be788-2b5c-734c-4130-7db307fa8715,1180.0,https://x.com/Elhadjidiagne25/status/1852677010637586783,99.0,"Allahumma salli ‘alaa sayyidinaa muhammadin-il-faatihi limaa ughliqa wa-l-khaatimi limaa sabaqa naasiri-l-haqqi bi-l-haqqi
Wa-l-haadi ilaa siraatika-l-mustaqiimi wa ‘alaa aalihii haqqa qadrihi wa miqdaarihi-l-‘aziim https://t.co/9S1sDb8SxK",,,,,,,,,,,,,,,Somalia,Violent Extremism,Hate Speech,Violent Extremism,2026-01-15 15:40:46.723151 UTC,2325,,high,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,0.9997733235359192,0.0001273547386517,9.929527004715057e-05,Normal,0.9997733235359192,,,0.576844334602356,0.423155665397644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,06a8485f-11cf-5cac-cba3-521b24293598,AbdinasirSola,154.0,2024-12-27,2024-12-27 07:19:17 UTC,1313.0,30a8c457-852d-6f60-8bd6-e522fb092470,205.0,https://x.com/AbdinasirSola/status/1872542754355683670,17.0,"2024 iyo dagaalada Somalida.

Xawaadle iyo Abgaal.

Murusade iyo Habargidir

Isaaq iyo ogaadeen

Mareexaan iyo Dir

Abgaal iyo Abgaal

Murusade iyo Abgaal

Mareexaan iyo Habargidir 

Isaaq iyo dhulbahante

Habargidir iyo Majeerteen

Raxanweyn iyo Gaaljecel

War yaa Alle yaqaan",,,,,,,,,,,,,,,Somalia,Violent Extremism,Hate Speech,Violent Extremism,2026-01-15 15:40:46.723151 UTC,2325,very_high,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,0.9979960918426514,9.471840894548222e-05,0.0019092670409008,Normal,0.9979960918426514,,,0.0218289606273174,0.9781710505485536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,1608afcf-dab3-8bf1-949d-427a2af5bc00,OGAA_NSHO,41.0,2025-01-04,2025-01-04 07:16:16 UTC,1313.0,8b0d6966-d0d9-5b29-9465-99d5fb77f527,307.0,https://x.com/OGAA_NSHO/status/1875441098367156534,18.0,"Maxay Marxalada AUSSOM uga  xuntahay AMISOM iyo ATMIS !
SABAB  :  ma jirto dowlad maanta diyaar ah ayadoo la fiirinaayo axwaasha caalamka  ma jirto dowlad diyaar u ah diritaanka ciidamo wadan kale .

TAASOO AH : Ciidanka AUSSOM ee la sheegaayo waa uun ciidanka itoobiya waxaad https://t.co/joEVIRbEfS",,,,,,,,,,,,,,,Somalia,Violent Extremism,Hate Speech,Violent Extremism,2026-01-15 15:40:46.723151 UTC,2325,very_high,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,0.9997146725654602,0.0001015137167996,0.000183805153938,Normal,0.9997146725654602,,,0.0477851368486881,0.9522148370742798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,a205011d-5b5d-a4b4-ee45-0f019aa26450,amos_dulex,57.0,2025-01-23,2025-01-23 06:02:37 UTC,1313.0,36598839-8868-f537-3b8a-3fd8f0a65ced,3739.0,https://x.com/amos_dulex/status/1882307934941790405,904.0,"Tukienda mahali uanze vita mimi siwezi kusaidia, wee pigwa turudi home",,,,,,,,,,,,,,,Somalia,Violent Extremism,Hate Speech,Violent Extremism,2026-01-15 15:40:46.723151 UTC,2325,,high,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,0.1382936686277389,0.0049093393608927,0.8567969799041748,Hate,0.8567969799041748,,,0.592349112033844,0.4076509177684784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,a7141d1f-bfbc-0030-af93-2fa01b8ef364,MoDSomaliya,28.0,2025-02-20,2025-02-20 06:28:52 UTC,1313.0,5d9f8f4f-b578-86df-feae-c5708c5b8846,212.0,https://x.com/MoDSomaliya/status/1892461400829657282,33.0,"The Somali National Army has achieved a significant victory against Al-Shabaab terrorists during planned operations in Ceel Cali Axmed, Middle Shabelle. The Khawarij suffered a heavy defeat, and our heroes are actively pursuing the remaining militants to bring them to justice. https://t.co/eafkgUM07w",,,,,,,,,,,,,,,Somalia,Violent Extremism,Other,Violent Extremism,2026-01-15 15:40:46.723151 UTC,2325,high,,low,low,low,low,low,low,medium,0.0,0.0,0.0,0.0,0.0,1.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,0.9986937642097472,0.0007176197250373,0.0005886296858079,Normal,0.9986937642097472,,,0.259339302778244,0.7406606674194336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
