platform,post_author_id,post_author_name_pi,post_comment_count,post_date,post_datetime,post_gather_id,post_id,post_like_count,post_link_pi,post_share_count,post_text_pi,comment_author_id,comment_author_name_pi,comment_date,comment_datetime,comment_gather_id,comment_id,comment_like_count,comment_link_pi,comment_parent_post_id,comment_replied_to_id,comment_text_pi,tiktok_post_plays,x_comment_is_quote,x_comment_is_reply,country,gather_topic,content_topic,primary_topic,phoenix_processed_at,phoenix_job_run_id,prob_afxumo,prob_not_afxumo,prob_toxicity,prob_severe_toxicity,prob_insult,prob_identity_attack,prob_threat,prob_sexually_explicit,prob_flirtation,topic_COUNTER_VE_LABELS,topic_HS_ANTI_FOREIGN,topic_HS_CASTE_RACISM,topic_HS_CLAN_HIERARCHY,topic_HS_CLAN_TARGETING,topic_HS_DEHUMANISATION_TARGETING,topic_HS_DEHUMANISE_MEDIA_TRUST,topic_HS_FACTIONAL_ATTACKS_AND_BETRAYAL,topic_HS_GBOV_GENDERED,topic_PEACE_CALLS_FOR_PEACE,topic_PEACE_INDIGENOUS_MECHANISMS,topic_PEACE_MEDIA_LITERACY_COUNTER_RUMOUR,topic_PEACE_RECONCILIATION_FORGIVENESS,topic_PEACE_TRADITIONAL_MEDIATION,topic_PEACE_UNITY_HEALING,topic_PEACE_WOMEN_VICTIM_SURVIVOR_VOICES,topic_RM_ATROCITY_PLANNING_RUMOURS,topic_VE_ATROCITY_AERIAL_AND_ATTACKS,topic_VE_CODED_YOUTH_REFERENCES,topic_VE_MILITIA_MOBILISATION,topic_VE_OPERATIONAL_ESCALATION,topic_VE_RECRUITMENT_COERCION,topic_VE_RELIGIOUS_JUSTIFICATION,topic_VE_SELF_REFERENCE_TERMS,topic_VE_TAKFIR_DEHUMANISE,topic_counter_disinfo_correction,topic_delegitimisation_anti_state,topic_explicit_violence_or_attack,topic_gendered_hate_or_humiliation,topic_grievance_victimhood,topic_interfaith_peace,topic_misdisinfo_rumour_conspiracy,topic_peace_cohesion_counter,topic_reconciliation_forgiveness,topic_religious_justification_takfir,topic_retaliation_mobilisation,topic_sectarian_or_religious_incitement,topic_sexualised_harm_or_humiliation,topic_unity_cohesion,topic_ve_attack_tactics,topic_ve_crossborder_diaspora,topic_ve_group_branding,topic_ve_propaganda_recruitment,topic_ve_recruitment_or_hijrah,topic_HS_MTN_CODED_METAPHOR_REVIEW,topic_RM_FINANCING_REQUESTS,topic_VE_ARABIC_PEACE_OR_WAR_TERMS_REVIEW,topic_VE_FINANCING_COORDINATION,topic_direct_threats_intimidation,topic_doxxing_or_personal_data_cues,topic_ve_bayah_affiliation,topic_HS_MILITARISATION_STEREOTYPE_MATHIANG_ANYOR,topic_VE_SECURITY_DELEGITIMATION_SPY_CLAIMS,topic_PEACE_HASHTAG_CAMPAIGNS,topic_nonviolence_deescalation,topic_expulsion_or_ethnic_cleansing_cues,topic_PEACE_ORG_REFERENCES,topic_PEACE_SYMBOLIC_SLOGANS,topic_HS_ETHNIC_SCAPEGOATING_JIENGE_CLUSTER,topic_HS_NATIONAL_IDENTITY_ANTI_ARAB_FRAMING,topic_HS_REGIONALISM_KOKORA,topic_HS_RETURN_DIASPORA_STIGMA,topic_coded_slurs_ethnic,topic_hate_slurs_or_coded,topic_identity_incitement_dehumanisation,EA_HS_Normal,EA_HS_Abusive,EA_HS_Hate,EA_HS_pred,EA_HS_conf,Polarization_Kenya_not_polarization,Polarization_Kenya_polarization,Afxumo_Somali_not_afxumo,Afxumo_Somali_afxumo,HateSpeech_Sudan_not_hate_speech,HateSpeech_Sudan_hate_speech,HateSpeech_Sudan_pred,HateSpeech_Sudan_conf,post_author_category,post_author_class,post_author_description_pi,post_author_followers_count,post_author_location,post_author_link_pi,post_class,comment_author_class,comment_class,facebook_video_views,x_post_retweeted_id,post_id_parent,post_text_pi_parent,post_author_id_parent,post_author_name_pi_parent,post_date_parent,post_datetime_parent,post_gather_id_parent,post_like_count_parent,post_share_count_parent,post_comment_count_parent,post_link_pi_parent,post_author_category_parent,post_author_class_parent,post_class_parent,platform_post,Polarization_Kenya_pred,Polarization_Kenya_conf,Afxumo_Somali_pred,Afxumo_Somali_conf
x,75c99eb3-40be-73c6-59e2-d80cfc164651,SouthSudan_Net,1.0,2014-09-28,2014-09-28 05:54:55 UTC,1308.0,7274f39b-a864-1a94-cddf-44b8a832ae31,0.0,https://x.com/SouthSudan_Net/status/516103740193927168,0.0,Get your #Africa facts right: websites seek to stem flow of misinformation http://t.co/pJNhnEokSN via @guardian,,,,,,,,,,,,,,,South Sudan,Peace,Hate Speech,Peace,2026-01-15 15:40:46.723151 UTC,2325,,very_high,low,low,low,low,low,low,medium,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,,,,,,,,,,0.9993938207626344,0.0003575500159058,0.000248630385613,Normal,0.9993938207626344,,,,,0.999272882938385,0.0007271565846167,not_hate_speech,0.999272882938385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,c7695021-b81d-5aa3-4d69-afe3808388c7,samirasawlani,3.0,2016-07-10,2016-07-10 14:10:55 UTC,1308.0,e1b5363c-8056-93db-ddb3-babdb9c22a9b,19.0,https://x.com/samirasawlani/status/752143064618110976,42.0,"Situation in South Sudan is complex-pls verify what u tweet &amp; quote ur sources.
Misinformation causes chaos &amp; can cost lives.",,,,,,,,,,,,,,,South Sudan,Peace,Hate Speech,Peace,2026-01-15 15:40:46.723151 UTC,2325,,very_high,low,low,low,low,low,low,medium,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,,,,,,,,,,0.9989124536514282,0.0007815353455953,0.0003060373128391,Normal,0.9989124536514282,,,,,0.9992468357086182,0.0007532113813795,not_hate_speech,0.9992468357086182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,9eefabf9-4b92-f044-15d4-6dcd0ad64249,defyhatenow,0.0,2016-07-10,2016-07-10 22:37:46 UTC,1308.0,a96d1807-fa02-ba71-0eca-d3d3c0bb117e,0.0,https://x.com/defyhatenow/status/752270616754065408,0.0,"Re: verify info to counter online incitement @jokmadut""Every misinformation can cost a life""https://t.co/BpeVIQ8Wav #defyhatenow #SouthSudan",,,,,,,,,,,,,,,South Sudan,Peace,Hate Speech,Peace,2026-01-15 15:40:46.723151 UTC,2325,,very_high,low,low,low,low,low,low,low,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,,,,,,,,,,0.9984930753707886,0.0010090899886563,0.000497817818541,Normal,0.9984930753707886,,,,,0.9992177486419678,0.0007822911138646,not_hate_speech,0.9992177486419678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,4d9af704-32ff-c52e-e02c-cc0dd70ecdb2,News_CRN,0.0,2017-07-07,2017-07-07 06:47:52 UTC,1308.0,ecce5bb8-d28b-26ca-1397-bfaab81ae2e7,0.0,https://x.com/News_CRN/status/883215976468238336,0.0,Youth in Ezo County of Tombura State are calling upon the citizens to forget about past situation and focus on unity and reconciliation.,,,,,,,,,,,,,,,South Sudan,Peace,Hate Speech,Peace,2026-01-15 15:40:46.723151 UTC,2325,,very_high,low,low,low,low,low,low,low,,,,,,0.0,,,,0.0,0.0,0.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,,,,,,,,,,0.9994558691978456,0.000408857158618,0.0001352801482426,Normal,0.9994558691978456,,,,,0.99823260307312,0.0017673224210739,not_hate_speech,0.99823260307312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,15da2412-4361-ab7c-d3e4-e837405680b7,leneiser,0.0,2017-07-07,2017-07-07 18:21:34 UTC,1308.0,7b63f485-5c7a-d01c-586c-19156af02d01,0.0,https://x.com/leneiser/status/883390550509932546,0.0,@BellPottinger All the money you got from Gupta's should be used by you to run a reconciliation and unity campaign in SA,,,,,,,,,,,,,,,South Sudan,Peace,Hate Speech,Peace,2026-01-15 15:40:46.723151 UTC,2325,,very_high,low,low,low,low,low,low,medium,,,,,,0.0,,,,0.0,0.0,0.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,,,,,,,,,,0.996045172214508,0.0036008986644446,0.000353990093572,Normal,0.996045172214508,,,,,0.999195158481598,0.0008048878517001,not_hate_speech,0.999195158481598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,f8c0223d-bec1-63fd-95f8-0c2d0087e143,NxGenSS,1.0,2017-07-08,2017-07-08 10:49:36 UTC,1308.0,aaf7b75b-70fc-fa58-0336-e765dfbbbdf8,4.0,https://x.com/NxGenSS/status/883639196635869184,1.0,"Talking about reconciliation and legal accountability, @benygmabor. #NxGenSouthSudan #SouthSudan #SSYLF https://t.co/yEQVJo7DoX",,,,,,,,,,,,,,,South Sudan,Peace,Peace,Peace,2026-01-15 15:40:46.723151 UTC,2325,,very_high,low,low,low,low,low,low,medium,,,,,,0.0,,,,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,,,,,,,,,,0.9995459914207458,0.0002581866865511,0.0001957878121174,Normal,0.9995459914207458,,,,,0.9989616870880128,0.0010383075568825,not_hate_speech,0.9989616870880128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,018cd365-63a6-20b8-8506-35f5c709a20c,SLAYDRIC,0.0,2017-07-08,2017-07-08 19:44:26 UTC,1308.0,34505088-10d7-5c88-f86a-b5a275d756ab,1.0,https://x.com/SLAYDRIC/status/883773791599566848,2.0,GUYS on était jeunes à l'époque de ce clash. Je propose une réconciliation avec Arthur. UNITY IS STRONGER THAN HATE.,,,,,,,,,,,,,,,South Sudan,Peace,Hate Speech,Peace,2026-01-15 15:40:46.723151 UTC,2325,very_high,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,,,,,,,,,,0.6088538765907288,0.3596868515014648,0.0314592830836772,Normal,0.6088538765907288,,,,,0.9989516735076904,0.001048358506523,not_hate_speech,0.9989516735076904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,25501f5a-823e-acfd-66be-3ca99d33bfcf,JonTyson,1.0,2017-07-09,2017-07-09 02:51:01 UTC,1308.0,a7dec960-b454-8c4e-181d-3f9c9fdfd9bc,15.0,https://x.com/JonTyson/status/883881145145978880,1.0,"Ephesians 4 : 1-16 tomorrow.

I've got doctrine, unity, reconciliation, mission, spiritual gifts, maturity.

I've got 5 sermons in 1 :)",,,,,,,,,,,,,,,South Sudan,Peace,Hate Speech,Peace,2026-01-15 15:40:46.723151 UTC,2325,,high,low,low,low,low,low,low,medium,,,,,,0.0,,,,0.0,0.0,0.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,,,,,,,,,,0.9996458292007446,0.0002491222403477,0.0001049611746566,Normal,0.9996458292007446,,,,,0.9980362057685852,0.0019637874793261,not_hate_speech,0.9980362057685852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,fb3e4da8-6d58-8c0a-cf87-44597ac72979,weare_threaded,0.0,2017-07-10,2017-07-10 21:00:39 UTC,1308.0,f0c12fc2-3a23-38d5-5e51-e72719f06833,0.0,https://x.com/weare_threaded/status/884517748658909189,0.0,"""May we who belong to God’s family...find our unity in Christ as the truest definition of our lives."" New blog: https://t.co/iBGKbvcI1D https://t.co/OxMOZjYtG8",,,,,,,,,,,,,,,South Sudan,Peace,Hate Speech,Peace,2026-01-15 15:40:46.723151 UTC,2325,,high,low,low,low,low,low,low,medium,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,,,,,,,,,,0.9996366500854492,0.0002587284834589,0.0001045864191837,Normal,0.9996366500854492,,,,,0.9984753727912904,0.0015245925169438,not_hate_speech,0.9984753727912904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,4a2dc111-cef9-ac1f-9806-008c8ebf5545,HealingTheHart,0.0,2017-07-10,2017-07-10 23:04:01 UTC,1308.0,554864bf-c8e5-bcd0-a446-3571fccf8bf7,0.0,https://x.com/HealingTheHart/status/884548794716696579,0.0,"The unifying theme of Scripture is unity in love. Unity in God, unity thru reconciliation, unity in the Body of Christ",,,,,,,,,,,,,,,South Sudan,Peace,Peace,Peace,2026-01-15 15:40:46.723151 UTC,2325,,very_high,low,low,low,low,low,low,low,,,,,,0.0,,,,0.0,0.0,0.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,,,,,,,,,,0.9995935559272766,0.0002846436400432,0.0001218125034938,Normal,0.9995935559272766,,,,,0.9987115859985352,0.0012883744202554,not_hate_speech,0.9987115859985352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
