platform,post_author_id,post_author_name_pi,post_comment_count,post_date,post_datetime,post_gather_id,post_id,post_like_count,post_link_pi,post_share_count,post_text_pi,comment_author_id,comment_author_name_pi,comment_date,comment_datetime,comment_gather_id,comment_id,comment_like_count,comment_link_pi,comment_parent_post_id,comment_replied_to_id,comment_text_pi,tiktok_post_plays,x_comment_is_quote,x_comment_is_reply,country,gather_topic,content_topic,primary_topic,phoenix_processed_at,phoenix_job_run_id,prob_afxumo,prob_not_afxumo,prob_toxicity,prob_severe_toxicity,prob_insult,prob_identity_attack,prob_threat,prob_sexually_explicit,prob_flirtation,topic_COUNTER_VE_LABELS,topic_HS_ANTI_FOREIGN,topic_HS_CASTE_RACISM,topic_HS_CLAN_HIERARCHY,topic_HS_CLAN_TARGETING,topic_HS_DEHUMANISATION_TARGETING,topic_HS_DEHUMANISE_MEDIA_TRUST,topic_HS_FACTIONAL_ATTACKS_AND_BETRAYAL,topic_HS_GBOV_GENDERED,topic_PEACE_CALLS_FOR_PEACE,topic_PEACE_INDIGENOUS_MECHANISMS,topic_PEACE_MEDIA_LITERACY_COUNTER_RUMOUR,topic_PEACE_RECONCILIATION_FORGIVENESS,topic_PEACE_TRADITIONAL_MEDIATION,topic_PEACE_UNITY_HEALING,topic_PEACE_WOMEN_VICTIM_SURVIVOR_VOICES,topic_RM_ATROCITY_PLANNING_RUMOURS,topic_VE_ATROCITY_AERIAL_AND_ATTACKS,topic_VE_CODED_YOUTH_REFERENCES,topic_VE_MILITIA_MOBILISATION,topic_VE_OPERATIONAL_ESCALATION,topic_VE_RECRUITMENT_COERCION,topic_VE_RELIGIOUS_JUSTIFICATION,topic_VE_SELF_REFERENCE_TERMS,topic_VE_TAKFIR_DEHUMANISE,topic_counter_disinfo_correction,topic_delegitimisation_anti_state,topic_explicit_violence_or_attack,topic_gendered_hate_or_humiliation,topic_grievance_victimhood,topic_interfaith_peace,topic_misdisinfo_rumour_conspiracy,topic_peace_cohesion_counter,topic_reconciliation_forgiveness,topic_religious_justification_takfir,topic_retaliation_mobilisation,topic_sectarian_or_religious_incitement,topic_sexualised_harm_or_humiliation,topic_unity_cohesion,topic_ve_attack_tactics,topic_ve_crossborder_diaspora,topic_ve_group_branding,topic_ve_propaganda_recruitment,topic_ve_recruitment_or_hijrah,topic_HS_MTN_CODED_METAPHOR_REVIEW,topic_RM_FINANCING_REQUESTS,topic_VE_ARABIC_PEACE_OR_WAR_TERMS_REVIEW,topic_VE_FINANCING_COORDINATION,topic_direct_threats_intimidation,topic_doxxing_or_personal_data_cues,topic_ve_bayah_affiliation,topic_HS_MILITARISATION_STEREOTYPE_MATHIANG_ANYOR,topic_VE_SECURITY_DELEGITIMATION_SPY_CLAIMS,topic_PEACE_HASHTAG_CAMPAIGNS,topic_nonviolence_deescalation,topic_expulsion_or_ethnic_cleansing_cues,topic_PEACE_ORG_REFERENCES,topic_PEACE_SYMBOLIC_SLOGANS,topic_HS_ETHNIC_SCAPEGOATING_JIENGE_CLUSTER,topic_HS_NATIONAL_IDENTITY_ANTI_ARAB_FRAMING,topic_HS_REGIONALISM_KOKORA,topic_HS_RETURN_DIASPORA_STIGMA,topic_coded_slurs_ethnic,topic_hate_slurs_or_coded,topic_identity_incitement_dehumanisation,EA_HS_Normal,EA_HS_Abusive,EA_HS_Hate,EA_HS_pred,EA_HS_conf,Polarization_Kenya_not_polarization,Polarization_Kenya_polarization,Afxumo_Somali_not_afxumo,Afxumo_Somali_afxumo,HateSpeech_Sudan_not_hate_speech,HateSpeech_Sudan_hate_speech,HateSpeech_Sudan_pred,HateSpeech_Sudan_conf,post_author_category,post_author_class,post_author_description_pi,post_author_followers_count,post_author_location,post_author_link_pi,post_class,comment_author_class,comment_class,facebook_video_views,x_post_retweeted_id,post_id_parent,post_text_pi_parent,post_author_id_parent,post_author_name_pi_parent,post_date_parent,post_datetime_parent,post_gather_id_parent,post_like_count_parent,post_share_count_parent,post_comment_count_parent,post_link_pi_parent,post_author_category_parent,post_author_class_parent,post_class_parent,platform_post,Polarization_Kenya_pred,Polarization_Kenya_conf,Afxumo_Somali_pred,Afxumo_Somali_conf
x,0999db66-23c4-3cd9-31fe-fdd479d9f81c,HAWAYAN25,53.0,2019-11-04,2019-11-04 02:59:30 UTC,1306.0,60db2fa5-96f2-d84a-c2d5-8aaf02a4ed20,308.0,https://x.com/HAWAYAN25/status/1191188190150967297,285.0,#FueraAtamaintCNE Oigan ECUATORIANOS en serio vamos a dejar otra vez que un CNE secuestrado por CORREISTAS nos den eligiendo PRESIDENTE? https://t.co/yKQJFaWpXk,,,,,,,,,,,,,,,South Sudan,Violent Extremism,Hate Speech,Violent Extremism,2026-01-15 15:40:46.723151 UTC,2325,high,,,,,,,,,,,,,,0.0,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,0.0007094622123986,0.0005442077526822,0.9987462759017944,Hate,0.9987462759017944,,,,,0.9989545345306396,0.0010454804869368,not_hate_speech,0.9989545345306396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,e53aefd3-7fd3-e92d-b61a-bc427055691e,cej_sv,145.0,2021-05-01,2021-05-01 23:48:04 UTC,1306.0,b2005bd0-d4ba-0ba0-e41b-a8085d9bb343,999.0,https://x.com/cej_sv/status/1388641402087747584,472.0,"Hacemos un llamado a la Comunidad Internacional de estar atentos ante el GOLPE DE ESTADO que se esta fraguando en la @AsambleaSV 

Cc. @CIDH @ONUElSalvador @EmbCanSV @HouseForeign @JMVivancoHRW @UEenElSalvador @FR_El_Salvador @EmbEsElSalvador @USEmbassySV @USAmbSV @NormaJTorres",,,,,,,,,,,,,,,South Sudan,Violent Extremism,Hate Speech,Violent Extremism,2026-01-15 15:40:46.723151 UTC,2325,,very_high,,,,,,,,,,,,,0.0,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,0.9942930936813354,0.0003067542857024,0.0054001319222152,Normal,0.9942930936813354,,,,,0.9987793564796448,0.0012206818209961,not_hate_speech,0.9987793564796448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,90ca8cb1-4c4d-db7e-9ae2-29955a6839b9,ecuadorenvivo,19.0,2021-06-11,2021-06-11 21:05:04 UTC,1306.0,6c195202-116d-07c7-85e9-f33a91234c97,292.0,https://x.com/ecuadorenvivo/status/1403458283323723789,66.0,Lasso: ‘No habrá tolerancia para grupos que pretendan desestabilizar al país’ https://t.co/ejeKxc0tY8 https://t.co/74jMetCUdJ,,,,,,,,,,,,,,,South Sudan,Violent Extremism,Hate Speech,Violent Extremism,2026-01-15 15:40:46.723151 UTC,2325,,very_high,,,,,,,,,,,,,0.0,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,0.0444066971540451,0.0003728449810296,0.9552204012870787,Hate,0.9552204012870787,,,,,0.9991658926010132,0.0008341395296156,not_hate_speech,0.9991658926010132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,0061b00b-4b18-2c84-10d1-12ef2f414c2a,RC5Oficial,22.0,2022-05-24,2022-05-24 02:16:36 UTC,1306.0,84ccc69a-9b39-9796-187f-d3bf3839047f,408.0,https://x.com/RC5Oficial/status/1528922884533542912,232.0,"#CACEROLAZO | Mañana, #24Mayo, todas y todos expresemos nuestro rechazo al Gobierno de #Lasso por indolente con la vida de las y de los ecuatorianos. 

¡Que retumbe las cacerolas en todo el país 🇪🇨!

🇪🇨🇪🇨 UNIDAD POR LA PATRIA

⁦@MashiRafael⁩ https://t.co/oYwrHDINqu",,,,,,,,,,,,,,,South Sudan,Violent Extremism,Hate Speech,Violent Extremism,2026-01-15 15:40:46.723151 UTC,2325,high,,,,,,,,,,,,,,0.0,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,0.9853495955467224,0.0004211804480291,0.0142291709780693,Normal,0.9853495955467224,,,,,0.9970417618751526,0.0029582628048956,not_hate_speech,0.9970417618751526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,305d55af-cb64-8efe-fc03-35133a19baa7,ColResistiendo,41.0,2022-06-24,2022-06-24 22:51:57 UTC,1306.0,85657e38-1a1d-19c8-5b98-da4baf5339a8,699.0,https://x.com/ColResistiendo/status/1540467793405034496,513.0,"¡En el Ecuador de Lasso, igual que en la Colombia de Duque!. ¡Solidaridad incondicional con la resistencia del hermano pueblo ecuatoriano! ¡Lasso para de matar a su pueblo! https://t.co/zbdwDsFcBQ",,,,,,,,,,,,,,,South Sudan,Violent Extremism,Hate Speech,Violent Extremism,2026-01-15 15:40:46.723151 UTC,2325,very_high,,,,,,,,,,,,,,0.0,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,0.1107842996716499,0.0608761459589004,0.8283395767211914,Hate,0.8283395767211914,,,,,0.9961686730384828,0.0038312966935336,not_hate_speech,0.9961686730384828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,5edf7a71-075f-a6a4-dbdc-d6d6942df565,IsmaelUlloaEc,65.0,2022-06-26,2022-06-26 01:15:54 UTC,1306.0,0ffb9716-d3df-e5e7-c011-d97d2650fac1,1063.0,https://x.com/IsmaelUlloaEc/status/1540866408950759428,547.0,"[🎥 de @ElenaDeQuito]

¡HASTA LAS LÁGRIMAS!

Estos PATRIOTAS, los que tragan gas lacrimógeno día a día, la mayoría con hambre, no necesitan un ‘trucutrú’ para sentirse Ecuatorianos🇪🇨.

-RECHAZO el vandalismo y estoy con los de las CAUSAS JUSTAS.

#ElParoSigue
#ParoNacionalEcuador https://t.co/CbjCGQhqWQ",,,,,,,,,,,,,,,South Sudan,Violent Extremism,Hate Speech,Violent Extremism,2026-01-15 15:40:46.723151 UTC,2325,very_high,,,,,,,,,,,,,,0.0,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,0.0006266984855756,0.0005267154192551,0.9988465309143066,Hate,0.9988465309143066,,,,,0.9981887936592102,0.0018112489487975,not_hate_speech,0.9981887936592102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,a1c4050b-4854-53eb-22f9-e16e002b694d,RC5Esmeraldas,22.0,2022-07-04,2022-07-04 01:24:28 UTC,1306.0,2a238d14-185d-7a41-43fe-93f218565246,584.0,https://x.com/RC5Esmeraldas/status/1543767667626201090,223.0,"Construimos juntos, carreteras, hospitales, escuelas, UPCs de calidad y al servicio de grandes mayorías. El odio y la mediocridad destruyó lo que era de todos los ecuatorianos. No podrán robarnos la esperanza de volver a tener un #Ecuador de dignidad.
#TuSabesQueEstabamosMejor https://t.co/63hG0byDrW",,,,,,,,,,,,,,,South Sudan,Violent Extremism,Hate Speech,Violent Extremism,2026-01-15 15:40:46.723151 UTC,2325,,very_high,,,,,,,,,,,,,0.0,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,0.9995170831680298,0.0002585567126516,0.000224364339374,Normal,0.9995170831680298,,,,,0.9972991347312928,0.0027009258046746,not_hate_speech,0.9972991347312928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,083c1cec-b30e-fafe-a3ba-ef5f21735653,amapolanaranjo,5.0,2022-07-09,2022-07-09 19:17:15 UTC,1306.0,c3c279b3-296d-7b12-a35e-e3d5edce9109,379.0,https://x.com/amapolanaranjo/status/1545849581191176194,166.0,"HORROR DE PDTE QUE TENEMOS: Dice q millones de ecuatorianos q apoyaron el Paro son narcotraficantes, narcopolíticos y guerrilleros. Así pregona en medios para tapar la realidad d su desastroso desempeño. Al grito de FUERA LASSO surgió la movilización nacional. Nadie le dijo esto?",,,,,,,,,,,,,,,South Sudan,Violent Extremism,Hate Speech,Violent Extremism,2026-01-15 15:40:46.723151 UTC,2325,high,,,,,,,,,,,,,,0.0,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,0.0038002303335815,0.0927223861217498,0.903477430343628,Hate,0.903477430343628,,,,,0.998227059841156,0.0017730083782225,not_hate_speech,0.998227059841156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,c51dac2c-de2c-aafe-9b49-b524398ee7a0,HijadelSol17,34.0,2022-10-26,2022-10-26 14:41:04 UTC,1306.0,f044a412-f7c2-acd9-9813-c1ac6aae2693,347.0,https://x.com/HijadelSol17/status/1585280354532921347,188.0,"#Ecuador Un delincuente, un mafioso, un mitómano, un narcobanquero, un usurero, un evasor, un corrupto, un vende patria, un inepto, un hipócrita, un fascista, un dictador, un enfermo mental NO ES MI PRESIDENTE #LassoEsMiEnemigo
Me declaro en resistencia!!!",,,,,,,,,,,,,,,South Sudan,Violent Extremism,Hate Speech,Violent Extremism,2026-01-15 15:40:46.723151 UTC,2325,very_high,,,,,,,,,,,,,,0.0,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,0.1588270962238311,0.6458466649055481,0.1953262090682983,Abusive,0.6458466649055481,,,,,0.99846613407135,0.0015338585944846,not_hate_speech,0.99846613407135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,7ed988ed-a2b2-b34b-2a71-522b3d2bfc41,bosscec,209.0,2022-11-03,2022-11-03 16:33:28 UTC,1306.0,396a7c8c-e907-0846-df79-3121a6db3f42,1670.0,https://x.com/bosscec/status/1588207743822880771,344.0,"He sido crítica y opositora de @LassoGuillermo,pero en estos momentos tenemos un enemigo en común q es el crimen organizado, x lo q exijo q todos dejemos las banderas políticas de un lado; unamos esfuerzos, xq la vida de todos los ecuatorianos está en juego y eso no es negociable",,,,,,,,,,,,,,,South Sudan,Violent Extremism,Hate Speech,Violent Extremism,2026-01-15 15:40:46.723151 UTC,2325,very_high,,,,,,,,,,,,,,0.0,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,0.9995563626289368,0.0001433433499187,0.0003002942830789,Normal,0.9995563626289368,,,,,0.9982255101203918,0.0017745017539709,not_hate_speech,0.9982255101203918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
